symbol,entry_date,entry_price,initial_stop,shares,exit_date,exit_price,exit_reason,pnl,r_multiple
AAPL,2026-01-27 05:00:00+00:00,258.84936,248.69619031577724,8.129251482998189,2026-02-12 05:00:00+00:00,260.81134171089803,trailing_stop,15.94944273293325,0.19323834545450516
JPM,2026-01-27 05:00:00+00:00,301.5356925,288.56571576547793,7.021930353074927,2026-02-12 05:00:00+00:00,301.1031485439227,trailing_stop,-3.0372935342180756,-0.03334963238029335
QQQ,2026-02-09 05:00:00+00:00,607.74372,587.7853358213872,4.091213087913122,2026-03-19 04:00:00+00:00,587.4914431534766,initial_stop,-82.85638009453683,-1.0147252736133612
NVDA,2026-02-09 05:00:00+00:00,184.38214499999998,171.5698586681055,6.738631577610564,2026-02-27 05:00:00+00:00,178.2463027641327,trailing_stop,-41.34718024585181,-0.4789029902175156
GOOGL,2026-03-10 04:00:00+00:00,306.9534,289.89546719709773,4.840936853894016,2026-03-25 04:00:00+00:00,289.7505194634992,initial_stop,-83.27805838228278,-1.0084973797982062
SPY,2026-03-17 04:00:00+00:00,672.7111874999999,653.70668296262,4.32332686256085,2026-03-20 04:00:00+00:00,653.3798296211387,initial_stop,-83.57577880745814,-1.0171987299557539
GOOGL,2026-04-01 04:00:00+00:00,290.84034749999995,274.72482124905923,5.07235033471046,2026-06-01 04:00:00+00:00,374.7980411066652,trailing_stop,425.8628352672868,5.209739495895417
AMZN,2026-06-12 04:00:00+00:00,243.28158,228.86386851836627,5.663997878657038,2026-06-25 04:00:00+00:00,228.74943658410712,initial_stop,-82.31002947995708,-1.0079369000000402
AAPL,2026-06-29 04:00:00+00:00,286.833345,270.5748621448655,5.086401042260422,2026-07-31 04:00:00+00:00,315.92603386444483,trailing_stop,147.97708296227034,1.7893852165460333
GOOGL,2026-07-28 04:00:00+00:00,328.14399,304.8734602913044,3.695757011217951,2026-08-12 04:00:00+00:00,340.93966019249103,trailing_stop,47.28968782713138,0.5498658755374041
AMZN,2026-07-31 04:00:00+00:00,264.9324,250.4770386866421,5.592304834162925,2026-08-17 04:00:00+00:00,259.7540942985076,trailing_stop,-28.958664007229256,-0.3582273448057793
